id,elv3_window_u_value,elv3_window_shgc,elv3_window_transmittance,ext_wall_rsi,ground_floor_elevation_3_wwr,slab_on_grade_ffactor,roof_rsi,air_infiltration_rate_ventilation_on,air_infiltration_rate_ventilation_off,single_patron_door_infiltration,backdoor_rsi,roof_solar_absorptance,roof_thermal_absorptance,building_orientation,building_depth,ground_floor_height,large_store_width,small_store_width,ahu_motor_efficiency,ahu_burner_efficiency,cooling_cop,ahu_fan_speeds,ahu_fan_efficiency,ahu_fan_pressure_rise,economizer_type,exhaust_air_heat_recovery,temp_setpoint_heating_occupied,temp_setpoint_cooling_occupied,temp_setpoint_heating_setback,temp_setpoint_cooling_setback,supply_air_temp_heating,supply_air_temp_cooling,outdoor_air_flow_per_area,exterior_lighting_w,exterior_lighting_sch,ground_allowance_lpd,ground_lpd,lighting_occ_sensor,equipment_power_density,hot_water_skin_loss,water_heater_efficiency,hot_water_peak_flow,large_max_occupant_density,small_max_occupant_density
0,2.703,0.366,0.584,3.0291,0.28,1.0504,2.3985,0.4,0.000349,0.124474,0.661,0.39,0.59,61.3907,60.604,8.519,10.198,3.743,0.66,0.8197,3.54492,1,0.6928,978.8,4,0,23.15,26.51,2.97,1.03,44.0,11.8,0.001531,10858.716067513065,1,2.419,12.441,1,11.86,1.4669,0.79,1.5e-06,45,18
1,1.583,0.359,0.788,4.5931,0.64,1.8974,7.1604,0.59,0.00038,0.107542,0.905,0.2,0.83,38.5082,52.303,4.986,16.413,5.036,0.834,0.6167,5.27023,1,0.8334,935.6,1,0,19.93,20.42,1.39,0.26,45.3,10.2,0.0016837,5957.793026690042,0,8.805,16.625,1,7.907,1.423,0.93,1.15e-06,78,36
2,2.945,0.487,0.613,6.9928,0.37,1.2305,9.2028,0.27,0.000418,0.093133,0.4401,0.3,0.44,82.0311,25.576,9.79,17.899,4.109,0.894,0.6439,4.1939,0,0.6942,544.3,4,0,21.38,22.63,5.78,2.79,36.4,17.4,0.0017785,9274.131381065597,0,2.86,7.33,1,5.445,1.4403,0.84,1.34e-06,29,32
3,6.252,0.636,0.253,2.2246,0.62,1.9066,9.1758,0.44,0.000288,0.05254,0.1331,0.54,0.88,-16.847,28.855,8.769,11.759,5.878,0.663,0.9291,4.872,0,0.6566,1087.6,0,2,18.71,21.13,5.45,5.49,43.9,16.3,0.001003,4801.830136986442,0,9.324,11.374,0,12.323,2.9372,0.99,1.45e-06,71,13
4,2.587,0.357,0.285,2.2128,0.34,0.6594,5.8374,0.57,0.00063,0.058862,0.1244,0.7,0.88,50.82,35.894,7.442,6.803,4.622,0.616,0.8849,4.56982,2,0.5083,485.9,4,2,23.8,24.8,0.45,2.72,43.8,17.9,0.0018599,6480.741992078132,0,8.922,12.465,1,13.794,1.463,0.95,1.24e-06,98,9
5,4.054,0.626,0.59,5.4786,0.33,1.9457,11.7117,0.47,0.000555,0.101713,0.367,0.71,0.55,-15.05,28.787,6.536,6.429,3.36,0.918,0.9574,3.32183,0,0.7465,892.6,1,2,23.73,26.36,3.08,5.53,45.8,14.6,0.0018062,3671.6131062939394,0,4.817,13.597,0,10.844,1.3577,0.66,1.84e-06,50,20
6,4.024,0.401,0.54,3.3209,0.34,2.398,6.6808,0.46,0.000111,0.084715,0.4393,0.36,0.75,-5.0886,86.84,3.682,15.017,4.434,0.938,0.9342,4.2652,1,0.6902,1215.9,3,2,18.7,20.63,4.88,2.14,46.4,15.9,0.0017487,2384.8176003219455,0,3.121,8.48,0,12.743,2.6742,0.75,1.39e-06,41,17
7,2.62,0.776,0.797,1.5731,0.33,1.3478,6.7762,0.27,0.000632,0.073536,0.2764,0.33,0.38,-50.1842,13.497,4.702,13.581,5.59,0.851,0.7003,5.04637,0,0.7609,642.2,3,0,22.44,26.14,4.17,2.68,48.2,13.4,0.0007153,7317.069606714149,1,4.192,17.847,0,6.879,0.8493,0.87,1.51e-06,75,6
8,4.927,0.439,0.134,3.0634,0.61,1.0646,11.7731,0.51,0.000676,0.083737,0.708,0.86,0.51,-3.8522,12.241,5.112,14.029,5.897,0.97,0.7249,3.12232,1,0.7907,1355.0,4,0,18.95,26.54,0.11,0.53,36.4,14.9,0.0018373,3963.728129061322,0,0.267,5.067,0,14.881,1.5406,0.88,1.94e-06,81,10
9,4.566,0.772,0.38,0.3566,0.49,2.1155,9.868,0.2,0.000185,0.099446,0.4918,0.27,0.23,1.9107,95.023,9.769,14.733,6.184,0.665,0.7308,5.41137,1,0.5817,612.5,3,2,18.71,23.24,5.19,0.11,42.2,12.6,0.000669,6333.423027503754,0,7.63,19.472,1,2.1,1.5032,0.67,1.07e-06,47,3
10,5.444,0.749,0.145,1.8674,0.35,1.7123,3.093,0.59,0.000664,0.143192,0.6453,0.36,0.51,79.9844,64.987,4.185,6.744,3.459,0.649,0.6285,3.80469,0,0.5152,654.0,1,2,19.06,21.19,1.66,2.43,38.4,14.8,0.0010788,2412.265769104768,0,4.677,5.906,0,1.606,2.7629,0.86,1.33e-06,79,9
11,6.258,0.232,0.801,6.0598,0.59,0.9746,3.5753,0.34,0.000162,0.125561,0.524,0.58,0.21,-57.5884,95.401,5.845,9.678,4.247,0.758,0.7415,4.57068,1,0.6311,1124.0,3,1,22.38,26.26,5.68,2.4,37.6,15.1,0.0004966,9216.47204111961,0,8.939,18.886,1,12.34,0.8045,0.95,1.47e-06,91,20
12,6.114,0.379,0.575,0.9121,0.5,1.6407,9.4731,0.44,0.000597,0.069707,0.3184,0.57,0.25,58.7011,27.032,8.445,16.518,4.255,0.65,0.7113,3.42759,1,0.5985,854.3,4,0,22.12,25.0,5.46,4.06,44.1,15.3,0.0009677,9241.369953937407,1,1.117,14.822,1,7.599,0.9437,0.72,1.31e-06,97,36
13,4.644,0.67,0.866,2.5231,0.6,1.3016,10.0252,0.59,0.000577,0.123834,0.3424,0.28,0.51,-76.3228,19.078,3.132,15.1,5.587,0.976,0.8232,3.46748,2,0.533,875.1,4,2,22.94,24.23,1.52,4.05,40.8,15.0,0.0012457,7436.528772878586,1,4.137,12.284,1,2.08,1.973,1.0,1.15e-06,77,40
14,1.746,0.274,0.573,4.3567,0.7,1.1133,11.6474,0.34,0.000321,0.054209,0.6821,0.39,0.82,29.2957,50.85,6.522,8.738,4.683,0.812,0.7172,5.02888,2,0.5901,1126.3,0,0,22.95,24.27,4.05,0.24,33.2,15.9,0.0009112,10357.025564890171,0,9.682,7.145,1,6.112,1.3482,0.66,1.55e-06,43,2
15,5.279,0.25,0.879,2.6878,0.6,2.0334,2.7166,0.45,0.000177,0.101486,0.5907,0.67,0.73,54.5165,56.322,5.412,6.661,7.193,0.851,0.8683,3.20186,2,0.7674,332.1,4,0,24.3,24.4,0.22,0.37,33.1,11.2,0.0006836,12702.4511641956,0,0.171,9.367,1,1.451,1.1936,0.89,1.21e-06,77,26
16,5.06,0.364,0.269,0.4842,0.43,1.4028,4.316,0.53,0.000529,0.118607,0.9859,0.68,0.39,-13.3694,12.218,3.058,13.528,4.697,0.869,0.7348,4.46036,0,0.5733,1047.5,4,1,20.44,25.81,4.21,0.75,36.0,16.2,0.0017889,3804.172144857939,0,9.935,8.742,0,11.152,2.4534,0.79,1.94e-06,56,8
17,5.756,0.648,0.722,5.8076,0.45,1.1659,11.114,0.23,0.000631,0.08072,0.3489,0.75,0.29,73.8295,40.48,5.817,7.845,3.807,0.854,0.6431,3.15535,1,0.803,1374.8,0,0,18.05,26.99,2.12,3.5,48.1,11.3,0.0007783,4278.150951117714,0,7.654,15.305,1,12.107,1.7573,0.98,1.47e-06,63,36
18,6.023,0.661,0.517,3.1247,0.41,0.7896,10.4797,0.22,0.000673,0.057142,0.1071,0.81,0.37,-15.9306,24.533,6.085,15.991,6.833,0.892,0.911,4.74794,2,0.5991,1409.3,2,2,22.05,24.98,3.12,3.52,30.9,16.5,0.0007725,13750.810099721772,1,8.453,10.591,1,5.843,2.073,0.71,1.33e-06,25,35
19,1.889,0.418,0.549,1.827,0.41,2.0175,8.7096,0.32,0.000516,0.067254,0.9945,0.25,0.84,27.7941,94.495,9.209,12.252,6.714,0.728,0.6756,4.73692,2,0.5362,974.8,3,0,23.31,26.44,4.48,4.65,48.9,11.5,0.0003644,13668.313723904083,1,0.394,8.123,0,12.111,0.6828,0.9,1.48e-06,48,13
20,2.02,0.292,0.686,5.554,0.73,2.312,7.7353,0.31,0.000235,0.115164,0.4247,0.58,0.37,-39.9376,95.514,7.377,18.808,5.5,0.878,0.6042,4.67828,2,0.5166,941.1,2,0,24.12,26.67,0.46,2.96,32.9,12.9,0.000741,13086.553784194755,0,8.432,15.646,1,7.199,2.5711,0.75,1.12e-06,77,17
21,6.272,0.24,0.121,5.7041,0.4,2.7342,10.6081,0.57,0.000442,0.142511,0.8076,0.51,0.57,-20.6763,97.395,6.524,9.58,5.469,0.816,0.6524,4.86878,0,0.7956,363.9,0,0,18.7,23.17,0.07,2.1,33.6,16.4,0.0013468,9090.265307655682,0,1.832,8.02,0,6.667,0.6334,0.8,1.13e-06,97,3
22,6.398,0.705,0.589,6.7817,0.32,0.5073,6.7039,0.58,0.000216,0.11299,0.3371,0.22,0.59,47.1365,73.941,9.269,6.99,6.09,0.776,0.7246,4.22274,0,0.6422,1071.2,4,2,23.62,26.14,4.01,4.8,50.0,11.3,0.0013624,13989.94719097396,0,2.641,11.759,0,9.363,2.8142,0.91,1.94e-06,119,20
23,3.245,0.734,0.692,1.2244,0.46,1.229,3.512,0.48,0.000505,0.14574,0.4744,0.69,0.37,24.7592,56.735,4.219,8.55,6.187,0.787,0.7635,3.68218,0,0.5211,489.0,2,2,18.26,23.75,0.5,5.12,38.1,12.8,0.0012085,4332.699519261414,1,9.547,15.125,0,4.747,1.407,0.66,1.96e-06,52,37
24,6.222,0.473,0.368,3.1528,0.34,1.9804,10.2866,0.56,0.000155,0.102726,0.1475,0.47,0.46,-12.9481,68.519,5.426,11.39,7.349,0.7,0.7732,5.30839,2,0.6269,1110.5,1,1,22.84,24.51,5.63,0.51,48.0,10.3,0.0016791,13878.675217555674,0,9.062,11.599,1,2.467,0.8356,0.8,1.18e-06,30,32
25,1.592,0.666,0.397,6.3459,0.65,2.7507,3.9084,0.21,0.000245,0.091998,0.3239,0.76,0.42,5.1876,55.599,7.472,16.788,4.895,0.65,0.7404,3.89041,0,0.7723,596.7,4,0,21.82,25.73,3.25,1.99,37.9,17.8,0.0011017,10244.40268068983,0,4.256,5.627,0,12.536,1.955,0.74,1.2e-06,96,40
26,2.671,0.341,0.15,2.4596,0.75,2.5201,7.3905,0.39,0.000134,0.086762,0.1466,0.89,0.86,-76.6345,24.476,3.888,7.102,5.081,0.747,0.9354,4.03825,0,0.5739,1127.8,0,0,20.09,22.75,2.9,5.91,32.2,11.2,0.0017307,4963.426494638739,1,9.65,12.679,0,10.254,2.6539,0.86,1.49e-06,41,28
27,5.011,0.272,0.38,0.8863,0.72,2.1036,11.2633,0.37,0.000191,0.142004,0.2704,0.5,0.57,-53.9682,38.317,5.381,19.759,7.684,0.709,0.918,3.54857,1,0.521,678.0,1,1,20.59,24.7,2.62,2.51,46.4,15.3,0.0003409,11499.934932225378,0,5.752,11.948,1,14.252,2.0026,0.9,1.02e-06,105,39
28,6.127,0.714,0.82,5.5758,0.43,1.1602,10.605,0.42,0.000257,0.116354,0.5871,0.41,0.34,-79.5546,66.411,7.487,19.584,7.422,0.66,0.7148,3.73812,2,0.831,1031.5,0,2,24.45,25.59,0.54,5.87,32.5,13.3,0.0019625,13892.373528926031,0,5.845,7.419,1,9.076,1.933,1.0,1.4e-06,90,8
